Salt, Mark Kurlansky
Guns Germs and Steel, Jared Diamond
The Silk Roads, Peter Frankopan
Sapiens, Yuval N. Harari
A People’s History of the United States, Howard Zinn
1491, Charles C. Mann
Meditations, Marcus Aurelius
Republic, Plato
Man’s Search for Meaning, Viktor Frankl
Meditations on First Philosophy, Rene Descartes
